,GBPUSD
2021-07-30,1.3897
2021-07-29,1.3900
2021-07-28,1.3846
2021-07-27,1.3768
2021-07-26,1.3738
2021-07-23,1.3721
2021-07-22,1.3693
2021-07-21,1.3592
2021-07-20,1.3574
2021-07-19,1.3666
2021-07-16,1.3774
2021-07-15,1.3814
2021-07-14,1.3802
2021-07-13,1.3802
2021-07-12,1.3840
2021-07-09,1.3760
2021-07-08,1.3742
2021-07-07,1.3757
2021-07-06,1.3790
2021-07-05,1.3819
2021-07-02,1.3739
2021-07-01,1.3764
2021-06-30,1.3805
2021-06-29,1.3816
2021-06-28,1.3877
2021-06-25,1.3892
2021-06-24,1.3892
2021-06-23,1.3925
2021-06-22,1.3863
2021-06-21,1.3787
2021-06-18,1.3797
2021-06-17,1.3912
2021-06-16,1.4077
2021-06-15,1.4037
2021-06-14,1.4072
2021-06-11,1.4106
2021-06-10,1.4076
2021-06-09,1.4116
2021-06-08,1.4124
2021-06-07,1.4112
2021-06-04,1.4086
2021-06-03,1.4093
2021-06-02,1.4115
2021-06-01,1.4156
2021-05-31,1.4166
2021-05-28,1.4137
2021-05-27,1.4092
2021-05-26,1.4119
2021-05-25,1.4118
2021-05-24,1.4119
2021-05-21,1.4154
2021-05-20,1.4103
2021-05-19,1.4134
2021-05-18,1.4147
2021-05-17,1.4079
2021-05-14,1.4037
2021-05-13,1.4008
2021-05-12,1.4078
2021-05-11,1.4107
2021-05-10,1.4016
2021-05-07,1.3892
2021-05-06,1.3867
2021-05-05,1.3878
2021-05-04,1.3841
2021-05-03,1.3805
2021-04-30,1.3810
2021-04-29,1.3933
2021-04-28,1.3863
2021-04-27,1.3859
2021-04-26,1.3867
2021-04-23,1.3837
2021-04-22,1.3829
2021-04-21,1.3887
2021-04-20,1.3936
2021-04-19,1.3810
2021-04-16,1.3719
2021-04-15,1.3763
2021-04-14,1.3751
2021-04-13,1.3703
2021-04-12,1.3671
2021-04-09,1.3672
2021-04-08,1.3720
2021-04-07,1.3730
2021-04-06,1.3819
2021-04-05,1.3814
2021-04-02,1.3814
2021-04-01,1.3749
2021-03-31,1.3718
2021-03-30,1.3708
2021-03-29,1.3757
2021-03-26,1.3743
2021-03-25,1.3671
2021-03-24,1.3675
2021-03-23,1.3756
2021-03-22,1.3819
2021-03-19,1.3833
2021-03-18,1.3898
2021-03-17,1.3869
2021-03-16,1.3811
2021-03-15,1.3854
2021-03-12,1.3868
2021-03-11,1.3922
2021-03-10,1.3847
2021-03-09,1.3803
2021-03-08,1.3803
2021-03-05,1.3782
2021-03-04,1.3918
2021-03-03,1.3923
2021-03-02,1.3860
2021-03-01,1.3906
2021-02-26,1.3891
2021-02-25,1.4101
2021-02-24,1.4087
2021-02-23,1.4057
2021-02-22,1.3982
2021-02-19,1.3952
2021-02-18,1.3841
2021-02-17,1.3831
2021-02-16,1.3871
2021-02-15,1.3867
2021-02-12,1.3777
2021-02-11,1.3811
2021-02-10,1.3805
2021-02-09,1.3744
2021-02-08,1.3683
2021-02-05,1.3668
2021-02-04,1.3571
2021-02-03,1.3621
2021-02-02,1.3614
2021-02-01,1.3658
2021-01-29,1.3659
2021-01-28,1.3632
2021-01-27,1.3662
2021-01-26,1.3610
2021-01-25,1.3651
2021-01-22,1.3637
2021-01-21,1.3661
2021-01-20,1.3624
2021-01-19,1.3583
2021-01-18,1.3521
2021-01-15,1.3574
2021-01-14,1.3617
2021-01-13,1.3622
2021-01-12,1.3508
2021-01-11,1.3454
2021-01-08,1.3540
2021-01-07,1.3541
2021-01-06,1.3543
2021-01-05,1.3556
2021-01-04,1.3549
2021-01-01,1.3666
2020-12-31,1.3609
2020-12-30,1.3495
2020-12-29,1.3462
2020-12-28,1.3436
2020-12-25,1.3515
2020-12-24,1.3507
2020-12-23,1.3373
2020-12-22,1.3310
2020-12-21,1.3192
2020-12-18,1.3475
2020-12-17,1.3497
2020-12-16,1.3435
2020-12-15,1.3285
2020-12-14,1.3293
2020-12-11,1.3137
2020-12-10,1.3250
2020-12-09,1.3363
2020-12-08,1.3292
2020-12-07,1.3227
2020-12-04,1.3418
2020-12-03,1.3354
2020-12-02,1.3292
2020-12-01,1.3319
2020-11-30,1.3306
2020-11-27,1.3296
2020-11-26,1.3323
2020-11-25,1.3307
2020-11-24,1.3296
2020-11-23,1.3267
