,BGI
2021-10-28,5.8000
2021-10-27,5.0000
2021-10-26,4.5000
2021-10-25,4.1000
2021-10-22,3.9000
2021-10-21,3.8300
2021-10-20,3.7900
2021-10-19,3.7200
2021-10-18,3.7100
2021-10-15,3.4500
2021-10-14,3.2000
2021-10-13,3.1300
2021-10-12,3.0600
2021-10-11,3.0500
2021-10-08,2.8800
2021-10-07,2.8800
2021-10-06,2.8300
2021-10-05,2.7700
2021-10-04,2.7600
2021-10-01,2.7300
2021-09-30,2.7000
2021-09-29,2.6300
2021-09-28,2.6200
2021-09-27,2.6600
2021-09-24,2.5500
2021-09-23,2.4200
2021-09-22,2.3900
2021-09-21,2.4100
2021-09-20,2.3500
2021-09-17,2.3300
2021-09-16,2.2900
2021-09-15,2.3800
2021-09-14,2.2500
2021-09-13,2.2900
2021-09-10,2.3800
2021-09-09,2.4500
2021-09-08,2.6100
2021-09-07,2.6400
2021-09-03,2.6300
2021-09-02,2.5600
2021-09-01,2.8500
2021-08-31,2.9300
2021-08-30,2.8700
2021-08-27,2.8700
2021-08-26,2.7200
2021-08-25,3.0300
2021-08-24,3.5900
2021-08-23,3.5100
2021-08-20,3.3500
2021-08-19,3.1600
2021-08-18,2.9900
2021-08-17,2.9900
2021-08-16,2.9400
2021-08-13,2.7400
2021-08-12,2.5500
2021-08-11,2.5600
2021-08-10,2.5600
2021-08-09,2.6900
2021-08-06,2.7700
2021-08-05,2.8200
2021-08-04,2.7900
2021-08-03,2.7300
2021-08-02,2.7200
2021-07-30,2.6800
2021-07-29,2.7500
2021-07-28,2.6900
2021-07-27,2.6300
2021-07-26,2.5900
2021-07-23,2.5300
2021-07-22,2.4200
2021-07-21,2.4500
2021-07-20,2.3100
2021-07-19,2.2000
2021-07-16,2.2200
2021-07-15,2.1100
2021-07-14,2.1000
2021-07-13,2.2600
2021-07-12,2.2600
2021-07-09,2.3000
2021-07-08,2.3500
2021-07-07,2.2100
2021-07-06,2.5500
2021-07-02,2.5000
2021-07-01,2.5600
2021-06-30,2.3000
2021-06-29,2.3100
2021-06-28,2.3900
2021-06-25,2.4000
2021-06-24,2.4000
2021-06-23,2.5600
2021-06-22,2.3600
2021-06-21,2.3000
2021-06-18,2.1900
2021-06-17,2.3200
2021-06-16,2.4500
2021-06-15,2.5200
2021-06-14,2.8000
2021-06-11,2.7500
2021-06-10,2.9900
2021-06-09,3.5500
2021-06-08,3.3500
2021-06-07,3.2700
2021-06-04,2.9100
2021-06-03,3.0300
2021-06-02,3.3100
2021-06-01,2.8200
2021-05-28,3.1200
2021-05-27,2.8500
2021-05-26,2.9000
2021-05-25,2.9500
2021-05-24,2.8000
2021-05-21,2.6100
2021-05-20,2.6200
2021-05-19,2.4900
2021-05-18,2.5900
2021-05-17,2.1200
2021-05-14,1.9900
2021-05-13,1.8400
2021-05-12,1.7200
2021-05-11,1.4000
2021-05-10,1.3800
2021-05-07,1.4700
2021-05-06,1.6600
2021-05-05,1.8000
2021-05-04,1.8000
2021-05-03,2.0200
2021-04-30,2.0500
2021-04-29,2.0000
2021-04-28,2.1100
2021-04-27,2.1500
2021-04-26,2.2100
2021-04-23,1.9800
2021-04-22,1.9000
2021-04-21,1.8800
2021-04-20,1.9000
2021-04-19,1.9000
2021-04-16,1.9500
2021-04-15,2.0600
2021-04-14,2.0100
2021-04-13,2.0800
2021-04-12,2.1500
2021-04-09,2.3200
2021-04-08,2.4500
2021-04-07,2.5100
2021-04-06,2.7300
2021-04-05,2.9000
2021-04-01,3.1000
2021-03-31,3.1400
2021-03-30,3.0900
2021-03-29,3.2500
2021-03-26,3.4200
2021-03-25,3.0100
2021-03-24,3.5500
2021-03-23,3.9100
2021-03-22,4.1500
2021-03-19,4.0400
2021-03-18,4.0200
2021-03-17,4.3900
2021-03-16,3.7800
2021-03-15,3.7100
2021-03-12,3.8600
2021-03-11,3.8700
2021-03-10,3.8000
2021-03-09,3.7100
2021-03-08,2.8300
2021-03-05,3.0500
2021-03-04,2.8500
2021-03-03,2.5000
2021-03-02,2.2300
2021-03-01,2.1900
2021-02-26,1.6500
2021-02-25,1.8000
2021-02-24,1.9000
2021-02-23,1.7000
2021-02-22,2.5200
2021-02-19,2.2500
2021-02-18,2.3700
2021-02-17,2.1100
2021-02-16,2.4400
2021-02-12,2.1100
2021-02-11,2.1200
2021-02-10,2.0300
2021-02-09,1.7800
2021-02-08,1.7700
2021-02-05,1.4700
2021-02-04,1.3700
2021-02-03,1.3300
2021-02-02,1.2900
2021-02-01,1.2500
2021-01-29,1.2000
2021-01-28,1.2100
2021-01-27,1.2500
2021-01-26,1.3900
2021-01-25,1.2100
2021-01-22,1.1500
2021-01-21,1.1400
2021-01-20,1.0700
2021-01-19,1.0700
2021-01-15,1.0500
2021-01-14,1.1900
2021-01-13,1.1700
2021-01-12,1.1300
2021-01-11,0.9600
2021-01-08,0.8800
2021-01-07,0.8700
2021-01-06,0.8600
2021-01-05,0.8300
2021-01-04,0.8200
2020-12-31,0.8200
2020-12-30,0.8100
2020-12-29,0.8000
2020-12-28,0.8000
2020-12-24,0.8100
2020-12-23,0.8000
2020-12-22,0.8200
2020-12-21,0.8100
2020-12-18,0.8300
2020-12-17,0.8600
2020-12-16,0.8600
2020-12-15,0.8500
2020-12-14,0.8200
2020-12-11,0.8600
2020-12-10,0.8500
2020-12-09,0.8400
2020-12-08,0.8500
2020-12-07,0.8300
2020-12-04,0.8100
2020-12-03,0.8000
2020-12-02,0.7800
2020-12-01,0.8500
2020-11-30,0.8000
2020-11-27,0.9500
2020-11-25,0.9300
2020-11-24,0.8400
2020-11-23,0.7700
2020-11-20,0.7400
2020-11-19,0.7300
2020-11-18,0.7100
2020-11-17,0.7000
2020-11-16,0.7000
2020-11-13,0.7100
2020-11-12,0.7000
2020-11-11,0.7000
2020-11-10,0.6900
2020-11-09,0.6900
2020-11-06,0.6800
2020-11-05,0.7100
2020-11-04,0.7000
2020-11-03,0.6800
2020-11-02,0.6900
2020-10-30,0.7000
2020-10-29,0.7400
2020-10-28,0.7300
2020-10-27,0.7400
2020-10-26,0.7700
2020-10-23,0.8200
2020-10-22,0.9200
2020-10-21,0.6700
2020-10-20,0.6900
2020-10-19,0.6600
2020-10-16,0.6600
2020-10-15,0.7200
2020-10-14,0.7400
2020-10-13,0.7200
2020-10-12,0.7100
2020-10-09,0.6600
2020-10-08,0.6700
2020-10-07,0.6400
2020-10-06,0.6500
2020-10-05,0.6400
2020-10-02,0.6100
2020-10-01,0.6300
2020-09-30,0.6400
2020-09-29,0.5800
2020-09-28,0.5800
2020-09-25,0.5900
2020-09-24,0.5700
2020-09-23,0.6100
2020-09-22,0.6100
2020-09-21,0.6100
2020-09-18,0.6000
2020-09-17,0.6000
2020-09-16,0.6500
2020-09-15,0.6200
2020-09-14,0.6200
2020-09-11,0.6000
2020-09-10,0.6000
2020-09-09,0.6000
2020-09-08,0.6300
2020-09-04,0.6300
2020-09-03,0.6600
2020-09-02,0.7100
2020-09-01,0.7000
2020-08-31,0.7100
2020-08-28,0.7100
2020-08-27,0.7100
2020-08-26,0.6900
2020-08-25,0.6700
2020-08-24,0.6500
2020-08-21,0.7200
2020-08-20,0.6900
2020-08-19,0.7500
2020-08-18,0.7200
2020-08-17,0.7600
2020-08-14,0.7500
2020-08-13,0.9200
2020-08-12,0.9000
2020-08-11,0.9200
2020-08-10,0.9200
2020-08-07,0.9300
2020-08-06,0.9300
2020-08-05,0.9100
2020-08-04,0.8800
2020-08-03,0.8700
2020-07-31,0.9000
2020-07-30,0.9000
2020-07-29,0.9000
2020-07-28,0.8900
2020-07-27,0.9000
2020-07-24,0.9100
2020-07-23,0.9300
2020-07-22,0.9300
2020-07-21,0.9300
2020-07-20,0.9300
2020-07-17,0.9500
2020-07-16,0.8800
2020-07-15,0.9200
2020-07-14,0.8800
2020-07-13,1.0600
2020-07-10,1.1700
2020-07-09,1.2700
2020-07-08,0.7700
2020-07-07,0.7500
2020-07-06,0.7500
2020-07-02,0.7100
2020-07-01,0.7500
2020-06-30,0.7300
2020-06-29,0.7300
2020-06-26,0.7300
2020-06-25,0.7300
2020-06-24,0.7300
2020-06-23,0.7500
2020-06-22,0.7800
2020-06-19,0.7800
2020-06-18,0.7500
2020-06-17,0.8200
2020-06-16,0.8300
2020-06-15,0.6800
2020-06-12,0.6300
2020-06-11,0.6000
2020-06-10,0.6000
2020-06-09,0.6000
2020-06-08,0.6200
2020-06-05,0.6100
2020-06-04,0.6000
2020-06-03,0.6500
2020-06-02,0.6500
2020-06-01,0.5800
2020-05-29,0.5700
2020-05-28,0.6800
2020-05-27,0.6600
2020-05-26,0.5300
2020-05-22,0.5200
2020-05-21,0.4600
2020-05-20,0.4800
2020-05-19,0.4600
2020-05-18,0.5000
2020-05-15,0.4500
2020-05-14,0.4500
2020-05-13,0.4600
2020-05-12,0.4500
2020-05-11,0.4200
2020-05-08,0.4500
2020-05-07,0.4400
2020-05-06,0.4200
2020-05-05,0.4100
2020-05-04,0.4700
2020-05-01,0.4600
2020-04-30,0.4500
2020-04-29,0.4700
2020-04-28,0.4600
2020-04-27,0.4500
