,NKE
2019-10-15,94.12
2019-10-14,94.05
2019-10-11,93.56
2019-10-10,92.72
2019-10-09,91.82
2019-10-08,90.41
2019-10-07,92.40
2019-10-04,91.93
2019-10-03,90.35
2019-10-02,90.57
2019-10-01,92.06
2019-09-30,92.50
2019-09-27,91.60
2019-09-26,90.25
2019-09-25,90.15
2019-09-24,86.76
2019-09-23,86.80
2019-09-20,86.67
2019-09-19,87.51
2019-09-18,87.21
2019-09-17,86.47
2019-09-16,86.67
2019-09-13,87.30
2019-09-12,86.22
2019-09-11,85.87
2019-09-10,86.29
2019-09-09,88.42
2019-09-06,88.02
2019-09-05,87.28
2019-09-04,85.50
2019-09-03,83.62
2019-08-30,84.41
2019-08-29,84.17
2019-08-28,81.72
2019-08-27,82.00
2019-08-26,80.74
2019-08-23,80.03
2019-08-22,82.50
2019-08-21,81.63
2019-08-20,79.45
2019-08-19,80.83
2019-08-16,79.25
2019-08-15,79.44
2019-08-14,80.51
2019-08-13,80.85
2019-08-12,81.18
2019-08-09,81.32
2019-08-08,81.61
2019-08-07,80.09
2019-08-06,79.49
2019-08-05,78.19
2019-08-02,80.79
2019-08-01,82.70
2019-07-31,85.55
2019-07-30,86.36
2019-07-29,87.18
2019-07-26,86.77
2019-07-25,86.59
2019-07-24,86.31
2019-07-23,86.23
2019-07-22,85.83
2019-07-19,86.48
2019-07-18,86.76
2019-07-17,87.44
2019-07-16,88.57
2019-07-15,89.06
2019-07-12,88.01
2019-07-11,87.40
2019-07-10,87.39
2019-07-09,87.82
2019-07-08,85.97
2019-07-05,85.42
2019-07-03,85.12
2019-07-02,84.22
2019-07-01,84.90
2019-06-28,82.67
2019-06-27,82.93
2019-06-26,82.44
2019-06-25,82.16
2019-06-24,84.37
2019-06-21,84.60
2019-06-20,84.42
2019-06-19,83.14
2019-06-18,82.50
2019-06-17,82.01
2019-06-14,83.04
2019-06-13,83.05
2019-06-12,82.52
2019-06-11,83.13
2019-06-10,82.45
2019-06-07,82.81
2019-06-06,82.08
2019-06-05,81.93
2019-06-04,78.78
2019-06-03,77.08
2019-05-31,77.07
2019-05-30,78.61
2019-05-29,77.70
2019-05-28,81.13
2019-05-24,82.09
2019-05-23,81.99
2019-05-22,82.76
2019-05-21,82.51
2019-05-20,82.74
2019-05-17,83.50
2019-05-16,84.20
2019-05-15,82.94
2019-05-14,82.06
2019-05-13,81.32
2019-05-10,82.19
2019-05-09,81.54
2019-05-08,82.14
2019-05-07,81.83
2019-05-06,82.86
2019-05-03,85.70
2019-05-02,84.99
2019-05-01,85.87
2019-04-30,87.26
2019-04-29,88.13
2019-04-26,87.33
2019-04-25,87.49
2019-04-24,87.43
2019-04-23,87.01
2019-04-22,87.30
2019-04-18,88.70
2019-04-17,87.45
2019-04-16,87.00
2019-04-15,86.44
2019-04-12,85.29
2019-04-11,84.28
2019-04-10,84.56
2019-04-09,83.97
2019-04-08,84.57
2019-04-05,85.05
2019-04-04,84.36
2019-04-03,84.25
2019-04-02,84.16
2019-04-01,84.70
2019-03-29,83.86
2019-03-28,83.70
2019-03-27,82.04
2019-03-26,82.91
2019-03-25,80.89
2019-03-22,82.15
2019-03-21,86.83
2019-03-20,86.09
2019-03-19,87.29
2019-03-18,87.00
2019-03-15,85.96
2019-03-14,85.70
2019-03-13,85.60
2019-03-12,85.02
2019-03-11,85.05
2019-03-08,84.02
2019-03-07,84.66
2019-03-06,85.04
2019-03-05,85.44
2019-03-04,85.11
2019-03-01,86.24
2019-02-28,85.68
2019-02-27,85.06
2019-02-26,85.20
2019-02-25,84.96
2019-02-22,84.03
2019-02-21,83.35
2019-02-20,84.35
2019-02-19,84.46
2019-02-15,85.10
2019-02-14,83.70
2019-02-13,84.76
2019-02-12,83.62
2019-02-11,82.87
2019-02-08,81.94
2019-02-07,81.71
2019-02-06,81.64
2019-02-05,81.93
2019-02-04,80.83
2019-02-01,81.13
2019-01-31,80.71
2019-01-30,80.06
2019-01-29,79.84
2019-01-28,79.74
2019-01-25,80.43
2019-01-24,79.55
2019-01-23,80.22
2019-01-22,80.20
2019-01-18,79.74
2019-01-17,77.31
2019-01-16,77.59
2019-01-15,76.13
2019-01-14,75.46
2019-01-11,75.80
2019-01-10,75.46
2019-01-09,76.14
2019-01-08,76.20
2019-01-07,74.30
2019-01-04,73.12
2019-01-03,71.21
2019-01-02,72.19
2018-12-31,73.52
2018-12-28,72.57
