,DKS
2020-03-31,21.01
2020-03-30,19.82
2020-03-27,19.99
2020-03-26,20.56
2020-03-25,18.88
2020-03-24,17.51
2020-03-23,14.48
2020-03-20,16.60
2020-03-19,14.34
2020-03-18,13.46
2020-03-17,18.01
2020-03-16,20.51
2020-03-13,24.59
2020-03-12,25.77
2020-03-11,30.44
2020-03-10,33.66
2020-03-09,32.14
2020-03-06,32.70
2020-03-05,33.36
2020-03-04,34.84
2020-03-03,34.77
2020-03-02,35.16
2020-02-28,35.65
2020-02-27,36.94
2020-02-26,38.80
2020-02-25,40.65
2020-02-24,41.07
2020-02-21,42.05
2020-02-20,42.97
2020-02-19,42.85
2020-02-18,42.93
2020-02-14,44.04
2020-02-13,44.14
2020-02-12,44.38
2020-02-11,43.27
2020-02-10,43.61
2020-02-07,43.77
2020-02-06,45.51
2020-02-05,43.75
2020-02-04,43.45
2020-02-03,43.84
2020-01-31,44.12
2020-01-30,45.33
2020-01-29,45.95
2020-01-28,45.67
2020-01-27,44.96
2020-01-24,45.65
2020-01-23,45.85
2020-01-22,47.74
2020-01-21,47.47
2020-01-17,48.01
2020-01-16,48.51
2020-01-15,47.88
2020-01-14,48.78
2020-01-13,47.80
2020-01-10,47.70
2020-01-09,47.90
2020-01-08,48.19
2020-01-07,47.57
2020-01-06,47.37
2020-01-03,47.48
2020-01-02,47.79
2019-12-31,49.08
2019-12-30,48.02
2019-12-27,47.50
2019-12-26,47.17
2019-12-24,47.00
2019-12-23,46.60
2019-12-20,46.73
2019-12-19,46.99
2019-12-18,47.42
2019-12-17,46.95
2019-12-16,47.09
2019-12-13,47.35
2019-12-12,47.50
2019-12-11,47.95
2019-12-10,47.14
2019-12-09,46.36
2019-12-06,45.97
2019-12-05,45.63
2019-12-04,45.58
2019-12-03,44.73
2019-12-02,44.65
2019-11-29,45.15
2019-11-27,45.75
2019-11-26,43.53
2019-11-25,39.06
2019-11-22,39.21
2019-11-21,38.81
2019-11-20,39.22
2019-11-19,39.98
2019-11-18,40.71
2019-11-15,40.28
2019-11-14,40.15
2019-11-13,40.04
2019-11-12,39.99
2019-11-11,40.37
2019-11-08,40.75
2019-11-07,41.07
2019-11-06,39.85
2019-11-05,39.59
2019-11-04,38.70
2019-11-01,38.23
2019-10-31,38.28
2019-10-30,39.13
2019-10-29,38.67
2019-10-28,39.13
2019-10-25,40.06
2019-10-24,39.60
2019-10-23,40.01
2019-10-22,39.63
2019-10-21,40.04
2019-10-18,38.57
2019-10-17,38.95
2019-10-16,38.47
2019-10-15,38.08
2019-10-14,37.97
2019-10-11,39.18
2019-10-10,39.02
2019-10-09,38.20
2019-10-08,37.20
2019-10-07,37.90
2019-10-04,38.35
2019-10-03,37.85
2019-10-02,39.33
2019-10-01,40.27
2019-09-30,40.04
2019-09-27,39.88
2019-09-26,39.13
2019-09-25,38.61
2019-09-24,38.20
2019-09-23,37.70
2019-09-20,37.37
2019-09-19,37.21
2019-09-18,37.31
2019-09-17,37.54
2019-09-16,38.17
2019-09-13,38.51
2019-09-12,37.65
2019-09-11,37.12
2019-09-10,37.39
2019-09-09,35.26
2019-09-06,35.33
2019-09-05,35.24
2019-09-04,33.97
2019-09-03,33.43
2019-08-30,33.97
2019-08-29,34.07
2019-08-28,33.50
2019-08-27,33.59
2019-08-26,31.81
2019-08-23,32.34
2019-08-22,33.83
2019-08-21,32.37
2019-08-20,32.18
2019-08-19,31.27
2019-08-16,31.52
2019-08-15,31.27
2019-08-14,31.54
2019-08-13,32.73
2019-08-12,32.17
2019-08-09,32.38
2019-08-08,32.56
2019-08-07,32.10
2019-08-06,32.99
2019-08-05,31.89
2019-08-02,33.40
2019-08-01,34.42
2019-07-31,36.63
2019-07-30,36.45
2019-07-29,37.07
2019-07-26,36.59
2019-07-25,37.07
2019-07-24,37.88
2019-07-23,37.27
2019-07-22,37.15
2019-07-19,37.09
2019-07-18,37.23
2019-07-17,37.35
2019-07-16,37.40
2019-07-15,37.02
2019-07-12,36.07
2019-07-11,35.72
2019-07-10,34.99
2019-07-09,35.99
2019-07-08,36.35
2019-07-05,35.31
2019-07-03,34.78
2019-07-02,34.45
2019-07-01,34.86
2019-06-28,34.20
2019-06-27,33.45
2019-06-26,33.74
2019-06-25,33.68
2019-06-24,33.58
