,ASCCF
2020-09-02,13.34
2020-09-01,13.34
2020-08-31,13.34
2020-08-28,13.34
2020-08-27,13.34
2020-08-26,13.34
2020-08-25,13.34
2020-08-24,13.34
2020-08-21,13.34
2020-08-20,13.34
2020-08-19,12.80
2020-08-18,12.80
2020-08-17,12.80
2020-08-14,12.80
2020-08-13,12.80
2020-08-12,12.80
2020-08-11,12.80
2020-08-10,12.80
2020-08-07,12.33
2020-08-06,12.41
2020-08-05,12.80
2020-08-04,11.40
2020-08-03,11.40
2020-07-31,11.40
2020-07-30,11.40
2020-07-29,11.40
2020-07-28,11.40
2020-07-27,11.52
2020-07-24,11.52
2020-07-23,11.52
2020-07-22,11.52
2020-07-21,11.52
2020-07-20,11.52
2020-07-17,11.52
2020-07-16,11.52
2020-07-15,11.52
2020-07-14,11.52
2020-07-13,11.52
2020-07-10,11.52
2020-07-09,11.52
2020-07-08,11.90
2020-07-07,11.90
2020-07-06,11.90
2020-07-02,11.90
2020-07-01,11.90
2020-06-30,11.90
2020-06-29,11.90
2020-06-26,11.90
2020-06-25,13.00
2020-06-24,13.00
2020-06-23,13.00
2020-06-22,13.00
2020-06-19,13.00
2020-06-18,13.00
2020-06-17,13.00
2020-06-16,13.00
2020-06-15,13.00
2020-06-12,13.00
2020-06-11,13.00
2020-06-10,13.00
2020-06-09,13.00
2020-06-08,12.80
2020-06-05,11.70
2020-06-04,11.70
2020-06-03,8.88
2020-06-02,8.88
2020-06-01,8.88
2020-05-29,8.88
2020-05-28,8.88
2020-05-27,8.88
2020-05-26,8.88
2020-05-22,8.88
2020-05-21,8.88
2020-05-20,8.88
2020-05-19,8.88
2020-05-18,8.88
2020-05-15,8.88
2020-05-14,8.88
2020-05-13,8.88
2020-05-12,8.88
2020-05-11,10.40
2020-05-08,8.90
2020-05-07,8.90
2020-05-06,9.18
2020-05-05,9.18
2020-05-04,9.18
2020-05-01,9.18
2020-04-30,9.18
2020-04-29,9.18
2020-04-28,9.18
2020-04-27,9.18
2020-04-24,9.18
2020-04-23,9.18
2020-04-22,9.18
2020-04-21,9.18
2020-04-20,9.18
2020-04-17,8.50
2020-04-16,8.50
2020-04-15,6.88
2020-04-14,6.88
2020-04-13,6.88
2020-04-09,6.88
2020-04-08,6.88
2020-04-07,6.88
2020-04-06,6.88
2020-04-03,6.88
2020-04-02,6.88
2020-04-01,6.88
2020-03-31,6.88
2020-03-30,6.88
2020-03-27,6.88
2020-03-26,6.88
2020-03-25,6.88
2020-03-24,6.88
2020-03-23,6.88
2020-03-20,6.88
2020-03-19,6.88
2020-03-18,7.17
2020-03-17,9.90
2020-03-16,9.90
2020-03-13,9.90
2020-03-12,9.90
2020-03-11,9.90
2020-03-10,9.90
2020-03-09,14.70
2020-03-06,14.70
2020-03-05,14.70
2020-03-04,14.70
2020-03-03,14.70
2020-03-02,14.70
2020-02-28,14.70
2020-02-27,14.70
2020-02-26,14.70
2020-02-25,14.70
2020-02-24,14.70
2020-02-21,14.70
2020-02-20,14.70
2020-02-19,14.70
2020-02-18,14.70
2020-02-14,14.70
2020-02-13,14.70
2020-02-12,14.70
2020-02-11,14.70
2020-02-10,14.70
2020-02-07,14.70
2020-02-06,15.40
2020-02-05,15.40
2020-02-04,15.40
2020-02-03,15.40
2020-01-31,15.40
2020-01-30,15.40
2020-01-29,15.40
2020-01-28,15.40
2020-01-27,15.30
2020-01-24,15.40
2020-01-23,15.40
2020-01-22,15.25
2020-01-21,15.25
2020-01-17,15.25
2020-01-16,15.25
2020-01-15,15.25
2020-01-14,17.15
2020-01-13,17.15
2020-01-10,17.15
2020-01-09,17.15
2020-01-08,17.15
2020-01-07,17.15
2020-01-06,17.15
2020-01-03,17.15
2020-01-02,17.15
2019-12-31,17.15
2019-12-30,17.15
2019-12-27,17.15
2019-12-26,17.15
2019-12-24,17.15
2019-12-23,17.15
2019-12-20,17.15
2019-12-19,17.15
2019-12-18,17.15
2019-12-17,17.15
2019-12-16,17.15
2019-12-13,17.15
2019-12-12,17.15
2019-12-11,17.15
2019-12-10,17.15
2019-12-09,17.15
2019-12-06,17.15
2019-12-05,17.15
2019-12-04,17.15
2019-12-03,17.15
2019-12-02,17.15
2019-11-29,17.15
2019-11-27,17.15
2019-11-26,17.15
2019-11-25,17.15
2019-11-22,17.15
2019-11-21,17.15
2019-11-20,17.15
2019-11-19,17.15
2019-11-18,17.15
2019-11-15,17.15
2019-11-14,17.15
2019-11-13,17.15
2019-11-12,17.15
2019-11-11,17.15
2019-11-08,17.15
2019-11-07,17.15
2019-11-06,17.15
2019-11-05,17.15
2019-11-04,17.15
2019-11-01,17.15
2019-10-31,17.15
2019-10-30,17.15
2019-10-29,17.15
2019-10-28,17.15
2019-10-25,17.15
2019-10-24,17.15
2019-10-23,17.15
2019-10-22,17.15
2019-10-21,17.15
2019-10-18,17.15
2019-10-17,14.65
2019-10-16,14.65
2019-10-15,14.65
2019-10-14,14.65
2019-10-11,14.65
2019-10-10,14.65
2019-10-09,14.65
2019-10-08,14.65
2019-10-07,14.65
2019-10-04,14.65
2019-10-03,14.65
2019-10-02,14.65
2019-10-01,14.65
2019-09-30,14.65
2019-09-27,14.65
2019-09-26,14.65
2019-09-25,14.65
2019-09-24,14.65
2019-09-23,14.65
2019-09-20,14.65
2019-09-19,14.65
2019-09-18,14.65
2019-09-17,14.65
2019-09-16,14.65
2019-09-13,14.65
2019-09-12,14.65
2019-09-11,14.35
2019-09-10,14.35
2019-09-09,14.35
2019-09-06,14.35
2019-09-05,14.35
2019-09-04,14.35
2019-09-03,14.35
2019-08-30,14.35
2019-08-29,14.35
2019-08-28,14.35
2019-08-27,14.35
2019-08-26,14.35
2019-08-23,14.35
2019-08-22,14.35
2019-08-21,14.35
2019-08-20,14.35
2019-08-19,14.35
2019-08-16,14.35
2019-08-15,14.35
2019-08-14,14.35
2019-08-13,14.35
2019-08-12,14.35
2019-08-09,13.65
2019-08-08,13.65
2019-08-07,13.65
2019-08-06,13.65
2019-08-05,12.70
2019-08-02,11.50
2019-08-01,10.50
2019-07-31,10.50
2019-07-30,10.50
2019-07-29,10.50
2019-07-26,10.50
2019-07-25,10.50
2019-07-24,10.50
2019-07-23,10.50
2019-07-22,10.50
2019-07-19,10.50
2019-07-18,10.50
2019-07-17,10.50
2019-07-16,10.50
2019-07-15,10.50
2019-07-12,11.20
2019-07-11,11.20
2019-07-10,11.20
2019-07-09,11.20
2019-07-08,11.20
2019-07-05,11.20
2019-07-03,11.20
2019-07-02,11.20
2019-07-01,11.20
2019-06-28,10.85
2019-06-27,10.85
2019-06-26,11.70
2019-06-25,11.70
2019-06-24,11.70
2019-06-21,11.70
2019-06-20,11.70
2019-06-19,11.70
2019-06-18,11.70
2019-06-17,11.70
2019-06-14,11.70
2019-06-13,11.70
2019-06-12,11.70
2019-06-11,11.70
2019-06-10,13.25
2019-06-07,13.25
2019-06-06,13.25
2019-06-05,13.25
2019-06-04,13.25
2019-06-03,13.25
2019-05-31,13.25
2019-05-30,13.25
2019-05-29,13.25
2019-05-28,13.25
2019-05-24,13.25
2019-05-23,13.25
2019-05-22,13.25
2019-05-21,13.25
2019-05-20,13.25
2019-05-17,13.25
2019-05-16,13.25
2019-05-15,13.25
2019-05-14,13.25
2019-05-13,13.25
2019-05-10,13.25
2019-05-09,13.25
2019-05-08,13.25
2019-05-07,13.25
2019-05-06,13.25
2019-05-03,13.25
2019-05-02,13.25
2019-05-01,13.25
2019-04-30,13.25
2019-04-29,13.25
2019-04-26,13.25
2019-04-25,13.25
2019-04-24,13.25
2019-04-23,13.25
2019-04-22,13.25
2019-04-18,13.75
2019-04-17,13.75
2019-04-16,13.75
2019-04-15,13.75
2019-04-12,13.75
2019-04-11,13.75
2019-04-10,13.75
2019-04-09,13.75
2019-04-08,13.75
2019-04-05,13.75
2019-04-04,12.90
2019-04-03,12.90
2019-04-02,12.90
2019-04-01,12.90
2019-03-29,12.90
2019-03-28,12.90
2019-03-27,12.90
2019-03-26,12.90
2019-03-25,12.90
2019-03-22,12.90
