,VFC
2020-03-09,62.02
2020-03-06,68.68
2020-03-05,70.54
2020-03-04,70.79
2020-03-03,70.80
2020-03-02,70.76
2020-02-28,70.00
2020-02-27,73.20
2020-02-26,76.37
2020-02-25,77.04
2020-02-24,80.60
2020-02-21,82.87
2020-02-20,82.60
2020-02-19,82.67
2020-02-18,82.48
2020-02-14,83.10
2020-02-13,83.16
2020-02-12,83.24
2020-02-11,82.70
2020-02-10,82.63
2020-02-07,82.87
2020-02-06,84.01
2020-02-05,83.83
2020-02-04,83.86
2020-02-03,82.86
2020-01-31,82.85
2020-01-30,83.26
2020-01-29,83.66
2020-01-28,82.29
2020-01-27,82.24
2020-01-24,84.08
2020-01-23,84.88
2020-01-22,94.26
2020-01-21,93.84
2020-01-17,93.45
2020-01-16,95.00
2020-01-15,95.27
2020-01-14,95.75
2020-01-13,95.20
2020-01-10,94.91
2020-01-09,95.48
2020-01-08,96.81
2020-01-07,98.56
2020-01-06,98.60
2020-01-03,98.76
2020-01-02,99.48
2019-12-31,99.13
2019-12-30,99.32
2019-12-27,99.64
2019-12-26,98.80
2019-12-24,98.35
2019-12-23,97.23
2019-12-20,96.77
2019-12-19,96.20
2019-12-18,95.13
2019-12-17,93.85
2019-12-16,93.08
2019-12-13,91.93
2019-12-12,91.59
2019-12-11,90.64
2019-12-10,90.17
2019-12-09,89.57
2019-12-06,89.68
2019-12-05,88.27
2019-12-04,86.30
2019-12-03,85.49
2019-12-02,87.29
2019-11-29,88.17
2019-11-27,87.99
2019-11-26,85.73
2019-11-25,86.09
2019-11-22,84.84
2019-11-21,84.78
2019-11-20,85.25
2019-11-19,85.61
2019-11-18,86.54
2019-11-15,85.77
2019-11-14,85.42
2019-11-13,83.91
2019-11-12,84.56
2019-11-11,86.12
2019-11-08,86.15
2019-11-07,86.26
2019-11-06,85.32
2019-11-05,84.60
2019-11-04,83.33
2019-11-01,82.65
2019-10-31,81.60
2019-10-30,81.29
2019-10-29,81.08
2019-10-28,83.08
2019-10-25,81.49
2019-10-24,89.76
2019-10-23,91.45
2019-10-22,92.57
2019-10-21,92.53
2019-10-18,90.83
2019-10-17,91.09
2019-10-16,91.08
2019-10-15,90.80
2019-10-14,90.03
2019-10-11,89.71
2019-10-10,88.33
2019-10-09,87.39
2019-10-08,86.62
2019-10-07,87.80
2019-10-04,87.40
2019-10-03,85.15
2019-10-02,86.67
2019-10-01,88.42
2019-09-30,88.65
2019-09-27,87.91
2019-09-26,87.02
2019-09-25,86.67
2019-09-24,85.75
2019-09-23,85.41
2019-09-20,85.67
2019-09-19,86.95
2019-09-18,86.57
2019-09-17,86.47
2019-09-16,88.14
2019-09-13,89.95
2019-09-12,89.75
2019-09-11,88.03
2019-09-10,88.83
2019-09-09,86.70
2019-09-06,86.80
2019-09-05,83.28
2019-09-04,81.31
2019-09-03,80.25
2019-08-30,81.90
2019-08-29,82.27
2019-08-28,79.07
2019-08-27,79.23
2019-08-26,78.79
2019-08-23,77.95
2019-08-22,80.08
2019-08-21,80.32
2019-08-20,79.51
2019-08-19,79.11
2019-08-16,77.78
2019-08-15,76.77
2019-08-14,79.36
2019-08-13,81.15
2019-08-12,80.94
2019-08-09,82.13
