,NZDUSD
2021-06-28,0.7034
2021-06-25,0.7060
2021-06-24,0.7043
2021-06-23,0.6997
2021-06-22,0.6965
2021-06-21,0.6945
2021-06-18,0.6924
2021-06-17,0.7001
2021-06-16,0.7123
2021-06-15,0.7106
2021-06-14,0.7128
2021-06-11,0.7117
2021-06-10,0.7166
2021-06-09,0.7171
2021-06-08,0.7190
2021-06-07,0.7192
2021-06-04,0.7134
2021-06-03,0.7140
2021-06-02,0.7211
2021-06-01,0.7248
2021-05-31,0.7232
2021-05-28,0.7214
2021-05-27,0.7267
2021-05-26,0.7224
2021-05-25,0.7210
2021-05-24,0.7161
2021-05-21,0.7165
2021-05-20,0.7158
2021-05-19,0.7174
2021-05-18,0.7216
2021-05-17,0.7183
2021-05-14,0.7171
2021-05-13,0.7136
2021-05-12,0.7164
2021-05-11,0.7254
2021-05-10,0.7272
2021-05-07,0.7207
2021-05-06,0.7186
2021-05-05,0.7151
2021-05-04,0.7118
2021-05-03,0.7157
2021-04-30,0.7162
2021-04-29,0.7224
2021-04-28,0.7189
2021-04-27,0.7203
2021-04-26,0.7192
2021-04-23,0.7154
2021-04-22,0.7161
2021-04-21,0.7164
2021-04-20,0.7177
2021-04-19,0.7123
2021-04-16,0.7133
2021-04-15,0.7139
2021-04-14,0.7051
2021-04-13,0.7006
2021-04-12,0.7015
2021-04-09,0.7011
2021-04-08,0.7006
2021-04-07,0.7021
2021-04-06,0.7009
2021-04-05,0.7017
2021-04-02,0.7015
2021-04-01,0.6947
2021-03-31,0.6965
2021-03-30,0.6977
2021-03-29,0.6974
2021-03-26,0.6962
2021-03-25,0.6946
2021-03-24,0.6957
2021-03-23,0.7021
2021-03-22,0.7140
2021-03-19,0.7144
2021-03-18,0.7176
2021-03-17,0.7157
2021-03-16,0.7171
2021-03-15,0.7169
2021-03-12,0.7152
2021-03-11,0.7187
2021-03-10,0.7133
2021-03-09,0.7104
2021-03-08,0.7106
2021-03-05,0.7104
2021-03-04,0.7229
2021-03-03,0.7238
2021-03-02,0.7211
2021-03-01,0.7227
2021-02-26,0.7244
2021-02-25,0.7421
2021-02-24,0.7322
2021-02-23,0.7308
2021-02-22,0.7282
2021-02-19,0.7205
2021-02-18,0.7178
2021-02-17,0.7160
2021-02-16,0.7204
2021-02-15,0.7217
2021-02-12,0.7177
2021-02-11,0.7205
2021-02-10,0.7202
2021-02-09,0.7218
2021-02-08,0.7179
2021-02-05,0.7137
2021-02-04,0.7155
2021-02-03,0.7186
2021-02-02,0.7137
2021-02-01,0.7155
2021-01-29,0.7152
2021-01-28,0.7107
2021-01-27,0.7152
2021-01-26,0.7169
2021-01-25,0.7172
2021-01-22,0.7168
2021-01-21,0.7178
2021-01-20,0.7117
2021-01-19,0.7104
2021-01-18,0.7098
2021-01-15,0.7121
2021-01-14,0.7172
2021-01-13,0.7168
2021-01-12,0.7159
2021-01-11,0.7149
2021-01-08,0.7231
2021-01-07,0.7227
2021-01-06,0.7237
2021-01-05,0.7174
2021-01-04,0.7164
2021-01-01,0.7183
2020-12-31,0.7192
2020-12-30,0.7148
2020-12-29,0.7108
2020-12-28,0.7087
2020-12-25,0.7105
2020-12-24,0.7092
2020-12-23,0.7032
2020-12-22,0.7033
2020-12-21,0.7004
2020-12-18,0.7112
2020-12-17,0.7104
2020-12-16,0.7072
2020-12-15,0.7060
2020-12-14,0.7078
2020-12-11,0.7076
2020-12-10,0.7015
2020-12-09,0.7037
2020-12-08,0.7025
2020-12-07,0.7007
2020-12-04,0.7029
2020-12-03,0.7053
2020-12-02,0.7033
2020-12-01,0.7020
2020-11-30,0.7014
2020-11-27,0.7003
2020-11-26,0.6994
2020-11-25,0.6962
2020-11-24,0.6926
2020-11-23,0.6900
2020-11-20,0.6907
2020-11-19,0.6880
2020-11-18,0.6877
2020-11-17,0.6877
2020-11-16,0.6864
2020-11-13,0.6812
2020-11-12,0.6857
2020-11-11,0.6814
2020-11-10,0.6805
2020-11-09,0.6791
2020-11-06,0.6762
2020-11-05,0.6681
2020-11-04,0.6619
2020-11-03,0.6623
2020-11-02,0.6590
2020-10-30,0.6605
2020-10-29,0.6599
2020-10-28,0.6630
2020-10-27,0.6679
2020-10-26,0.6673
2020-10-23,0.6658
2020-10-22,0.6634
2020-10-21,0.6579
2020-10-20,0.6554
2020-10-19,0.6612
2020-10-16,0.6588
2020-10-15,0.6578
2020-10-14,0.6646
2020-10-13,0.6630
2020-10-12,0.6643
2020-10-09,0.6589
2020-10-08,0.6548
2020-10-07,0.6577
2020-10-06,0.6625
2020-10-05,0.6633
2020-10-02,0.6616
2020-10-01,0.6618
2020-09-30,0.6571
2020-09-29,0.6554
2020-09-28,0.6541
2020-09-25,0.6531
2020-09-24,0.6512
2020-09-23,0.6564
2020-09-22,0.6633
2020-09-21,0.6653
2020-09-18,0.6759
2020-09-17,0.6677
2020-09-16,0.6704
2020-09-15,0.6687
2020-09-14,0.6678
2020-09-11,0.6647
2020-09-10,0.6665
2020-09-09,0.6612
2020-09-08,0.6628
2020-09-07,0.6694
2020-09-04,0.6670
2020-09-03,0.6707
2020-09-02,0.6743
2020-09-01,0.6731
2020-08-31,0.6722
2020-08-28,0.6638
2020-08-27,0.6603
2020-08-26,0.6545
2020-08-25,0.6516
2020-08-24,0.6527
2020-08-21,0.6519
2020-08-20,0.6491
2020-08-19,0.6601
2020-08-18,0.6536
2020-08-17,0.6521
2020-08-14,0.6527
2020-08-13,0.6555
2020-08-12,0.6534
2020-08-11,0.6573
2020-08-10,0.6579
2020-08-07,0.6606
2020-08-06,0.6630
2020-08-05,0.6631
2020-08-04,0.6591
2020-08-03,0.6577
2020-07-31,0.6641
2020-07-30,0.6622
2020-07-29,0.6643
2020-07-28,0.6634
2020-07-27,0.6645
2020-07-24,0.6616
2020-07-23,0.6633
2020-07-22,0.6634
2020-07-21,0.6560
2020-07-20,0.6540
2020-07-17,0.6534
2020-07-16,0.6538
2020-07-15,0.6542
2020-07-14,0.6507
2020-07-13,0.6555
2020-07-10,0.6547
2020-07-09,0.6554
2020-07-08,0.6531
2020-07-07,0.6521
2020-07-06,0.6534
2020-07-03,0.6505
2020-07-02,0.6476
2020-07-01,0.6442
2020-06-30,0.6387
2020-06-29,0.6407
2020-06-26,0.6405
2020-06-25,0.6401
2020-06-24,0.6411
2020-06-23,0.6440
2020-06-22,0.6397
2020-06-19,0.6408
2020-06-18,0.6425
2020-06-17,0.6431
2020-06-16,0.6415
2020-06-15,0.6384
2020-06-12,0.6396
2020-06-11,0.6452
2020-06-10,0.6496
2020-06-09,0.6471
2020-06-08,0.6511
2020-06-05,0.6460
2020-06-04,0.6406
2020-06-03,0.6368
2020-06-02,0.6266
2020-06-01,0.6198
2020-05-29,0.6176
2020-05-28,0.6171
2020-05-27,0.6154
2020-05-26,0.6102
2020-05-25,0.6085
2020-05-22,0.6083
2020-05-21,0.6108
2020-05-20,0.6087
2020-05-19,0.6035
2020-05-18,0.5931
2020-05-15,0.5923
2020-05-14,0.5960
2020-05-13,0.6002
2020-05-12,0.6043
2020-05-11,0.6062
2020-05-08,0.6091
2020-05-07,0.6010
2020-05-06,0.6013
2020-05-05,0.6034
2020-05-04,0.6010
2020-05-01,0.6049
2020-04-30,0.6110
2020-04-29,0.6077
2020-04-28,0.5993
2020-04-27,0.6019
2020-04-24,0.5978
2020-04-23,0.5915
2020-04-22,0.5943
2020-04-21,0.5936
2020-04-20,0.6011
2020-04-17,0.5969
2020-04-16,0.5941
2020-04-15,0.5957
2020-04-14,0.6067
2020-04-13,0.6061
2020-04-10,0.6061
2020-04-09,0.5987
