,PLNT
2021-05-05,81.30
2021-05-04,79.87
2021-05-03,82.42
2021-04-30,82.62
2021-04-29,83.05
2021-04-28,83.82
2021-04-27,84.62
2021-04-26,83.05
2021-04-23,82.86
2021-04-22,83.37
2021-04-21,84.10
2021-04-20,82.62
2021-04-19,86.68
2021-04-16,87.37
2021-04-15,85.27
2021-04-14,84.67
2021-04-13,83.35
2021-04-12,84.79
2021-04-09,84.35
2021-04-08,80.36
2021-04-07,81.24
2021-04-06,79.05
2021-04-05,79.33
2021-04-01,77.47
2021-03-31,75.90
2021-03-30,74.67
2021-03-29,74.55
2021-03-26,75.04
2021-03-25,71.35
2021-03-24,72.74
2021-03-23,75.11
2021-03-22,77.29
2021-03-19,77.78
2021-03-18,80.21
2021-03-17,80.71
2021-03-16,81.14
2021-03-15,80.36
2021-03-12,79.75
2021-03-11,80.63
2021-03-10,80.48
2021-03-09,81.81
2021-03-08,83.63
2021-03-05,76.91
2021-03-04,79.67
2021-03-03,83.21
2021-03-02,82.84
2021-03-01,84.40
2021-02-26,84.20
2021-02-25,86.11
2021-02-24,84.52
2021-02-23,79.33
2021-02-22,77.32
2021-02-19,76.46
2021-02-18,77.17
2021-02-17,74.49
2021-02-16,76.32
2021-02-12,75.51
2021-02-11,76.30
2021-02-10,77.45
2021-02-09,78.64
2021-02-08,77.78
2021-02-05,74.12
2021-02-04,73.61
2021-02-03,72.85
2021-02-02,73.34
2021-02-01,71.68
2021-01-29,71.76
2021-01-28,74.60
2021-01-27,71.25
2021-01-26,73.29
2021-01-25,75.45
2021-01-22,78.97
2021-01-21,78.34
2021-01-20,78.98
2021-01-19,79.48
2021-01-15,79.39
2021-01-14,81.14
2021-01-13,82.11
2021-01-12,82.51
2021-01-11,79.18
2021-01-08,79.11
2021-01-07,77.90
2021-01-06,73.79
2021-01-05,72.00
2021-01-04,73.14
2020-12-31,76.55
2020-12-30,76.43
2020-12-29,75.61
2020-12-28,75.74
2020-12-24,76.96
2020-12-23,77.04
2020-12-22,73.48
2020-12-21,72.59
2020-12-18,74.10
2020-12-17,73.74
2020-12-16,72.97
2020-12-15,72.68
2020-12-14,75.70
2020-12-11,75.23
2020-12-10,76.15
2020-12-09,76.51
2020-12-08,73.87
2020-12-07,73.68
2020-12-04,72.63
2020-12-03,74.05
2020-12-02,73.57
2020-12-01,72.56
2020-11-30,70.55
2020-11-27,71.53
2020-11-25,71.45
2020-11-24,70.70
2020-11-23,65.46
2020-11-20,65.41
2020-11-19,64.86
2020-11-18,66.29
2020-11-17,67.95
2020-11-16,69.15
2020-11-13,68.45
2020-11-12,70.76
2020-11-11,71.25
2020-11-10,72.75
2020-11-09,77.00
2020-11-06,63.05
2020-11-05,65.19
2020-11-04,62.32
2020-11-03,59.79
2020-11-02,58.78
2020-10-30,57.90
2020-10-29,58.70
2020-10-28,59.19
2020-10-27,63.42
2020-10-26,64.24
2020-10-23,66.43
2020-10-22,64.72
2020-10-21,63.87
2020-10-20,62.77
2020-10-19,63.12
2020-10-16,65.19
2020-10-15,63.55
2020-10-14,64.37
2020-10-13,65.69
2020-10-12,66.86
2020-10-09,65.90
2020-10-08,65.30
2020-10-07,62.28
2020-10-06,62.18
2020-10-05,61.65
2020-10-02,60.83
2020-10-01,62.27
2020-09-30,59.36
2020-09-29,58.86
2020-09-28,60.19
2020-09-25,58.12
2020-09-24,57.97
2020-09-23,58.72
2020-09-22,56.15
2020-09-21,53.55
2020-09-18,56.83
2020-09-17,59.02
2020-09-16,59.53
2020-09-15,59.12
2020-09-14,56.90
2020-09-11,54.65
2020-09-10,57.55
2020-09-09,60.94
2020-09-08,60.27
2020-09-04,58.65
2020-09-03,60.63
2020-09-02,61.02
2020-09-01,59.78
2020-08-31,60.78
2020-08-28,61.15
2020-08-27,58.70
2020-08-26,57.43
2020-08-25,57.24
2020-08-24,57.21
2020-08-21,54.45
2020-08-20,52.68
2020-08-19,53.41
2020-08-18,53.40
2020-08-17,53.74
2020-08-14,54.89
2020-08-13,56.10
2020-08-12,56.14
2020-08-11,54.57
2020-08-10,51.25
2020-08-07,50.48
2020-08-06,49.42
2020-08-05,49.77
2020-08-04,50.60
2020-08-03,50.38
2020-07-31,51.70
2020-07-30,52.20
2020-07-29,53.99
2020-07-28,53.65
2020-07-27,53.40
2020-07-24,53.90
2020-07-23,55.55
2020-07-22,57.26
2020-07-21,57.90
2020-07-20,56.88
2020-07-17,57.55
2020-07-16,57.88
2020-07-15,58.40
2020-07-14,53.89
2020-07-13,54.80
2020-07-10,55.28
2020-07-09,54.04
2020-07-08,56.52
2020-07-07,55.88
2020-07-06,60.41
2020-07-02,60.38
2020-07-01,61.22
2020-06-30,58.03
2020-06-29,57.74
2020-06-26,60.86
2020-06-25,63.07
2020-06-24,63.05
2020-06-23,63.55
2020-06-22,63.32
2020-06-19,64.97
2020-06-18,65.41
2020-06-17,66.88
2020-06-16,68.12
2020-06-15,62.60
2020-06-12,64.91
2020-06-11,64.06
2020-06-10,67.27
2020-06-09,69.75
2020-06-08,72.06
2020-06-05,74.24
2020-06-04,73.18
2020-06-03,75.01
2020-06-02,68.54
2020-06-01,64.47
2020-05-29,63.96
2020-05-28,64.27
2020-05-27,60.69
2020-05-26,63.21
2020-05-22,60.81
2020-05-21,59.29
2020-05-20,58.59
2020-05-19,56.69
2020-05-18,55.94
2020-05-15,49.40
2020-05-14,45.87
2020-05-13,47.05
2020-05-12,51.70
2020-05-11,58.07
2020-05-08,60.14
2020-05-07,60.63
2020-05-06,55.14
2020-05-05,56.12
2020-05-04,53.84
2020-05-01,54.87
2020-04-30,59.65
2020-04-29,63.63
2020-04-28,58.47
2020-04-27,58.93
2020-04-24,55.52
2020-04-23,55.82
2020-04-22,55.39
2020-04-21,53.23
2020-04-20,53.66
2020-04-17,54.16
2020-04-16,49.02
2020-04-15,51.56
2020-04-14,54.76
2020-04-13,52.81
2020-04-09,53.51
2020-04-08,47.41
2020-04-07,44.44
