,RCI
2021-07-27,50.73
2021-07-26,51.07
2021-07-23,50.94
2021-07-22,50.55
2021-07-21,51.18
2021-07-20,52.48
2021-07-19,52.37
2021-07-16,52.81
2021-07-15,52.20
2021-07-14,53.31
2021-07-13,53.07
2021-07-12,53.12
2021-07-09,53.18
2021-07-08,52.76
2021-07-07,52.89
2021-07-06,52.95
2021-07-02,53.17
2021-07-01,53.05
2021-06-30,52.64
2021-06-29,52.75
2021-06-28,52.44
2021-06-25,52.26
2021-06-24,52.16
2021-06-23,52.08
2021-06-22,51.62
2021-06-21,51.49
2021-06-18,51.33
2021-06-17,51.58
2021-06-16,51.60
2021-06-15,51.34
2021-06-14,51.22
2021-06-11,51.27
2021-06-10,51.36
2021-06-09,51.45
2021-06-08,52.21
2021-06-07,52.29
2021-06-04,51.61
2021-06-03,51.08
2021-06-02,51.25
2021-06-01,51.36
2021-05-28,51.20
2021-05-27,51.30
2021-05-26,50.73
2021-05-25,50.75
2021-05-24,50.90
2021-05-21,50.82
2021-05-20,50.96
2021-05-19,50.28
2021-05-18,50.44
2021-05-17,50.94
2021-05-14,50.81
2021-05-13,50.25
2021-05-12,50.24
2021-05-11,50.63
2021-05-10,50.87
2021-05-07,49.65
2021-05-06,49.37
2021-05-05,49.16
2021-05-04,48.99
2021-05-03,49.31
2021-04-30,49.13
2021-04-29,49.46
2021-04-28,49.13
2021-04-27,48.97
2021-04-26,48.94
2021-04-23,48.82
2021-04-22,48.71
2021-04-21,49.25
2021-04-20,48.45
2021-04-19,48.63
2021-04-16,47.91
2021-04-15,47.93
2021-04-14,48.32
2021-04-13,48.02
2021-04-12,48.01
2021-04-09,47.75
2021-04-08,47.53
2021-04-07,47.32
2021-04-06,46.60
2021-04-05,46.83
2021-04-01,46.04
2021-03-31,46.10
2021-03-30,46.96
2021-03-29,47.40
2021-03-26,47.46
2021-03-25,47.95
2021-03-24,48.11
2021-03-23,48.24
2021-03-22,48.18
2021-03-19,48.26
2021-03-18,48.63
2021-03-17,49.68
2021-03-16,49.54
2021-03-15,48.15
2021-03-12,46.97
2021-03-11,46.59
2021-03-10,45.96
2021-03-09,46.05
2021-03-08,46.85
2021-03-05,45.36
2021-03-04,44.65
2021-03-03,44.31
2021-03-02,43.76
2021-03-01,43.39
2021-02-26,43.18
2021-02-25,43.70
2021-02-24,43.50
2021-02-23,43.55
2021-02-22,43.61
2021-02-19,43.92
2021-02-18,44.07
2021-02-17,44.38
2021-02-16,44.86
2021-02-12,44.73
2021-02-11,45.36
2021-02-10,45.33
2021-02-09,45.88
2021-02-08,46.41
2021-02-05,46.17
2021-02-04,45.99
2021-02-03,45.91
2021-02-02,45.26
2021-02-01,44.88
2021-01-29,44.99
2021-01-28,45.44
2021-01-27,48.21
2021-01-26,48.52
2021-01-25,48.22
2021-01-22,47.80
2021-01-21,47.52
2021-01-20,47.16
2021-01-19,47.30
2021-01-15,47.27
2021-01-14,47.68
2021-01-13,47.39
2021-01-12,47.01
2021-01-11,47.35
2021-01-08,47.48
2021-01-07,47.20
2021-01-06,47.90
2021-01-05,47.30
2021-01-04,46.67
2020-12-31,46.50
2020-12-30,46.70
2020-12-29,46.60
2020-12-28,46.64
2020-12-24,46.29
