,ADDYY
2021-03-30,154.16
2021-03-29,154.89
2021-03-26,153.18
2021-03-25,153.22
2021-03-24,164.02
2021-03-23,165.98
2021-03-22,165.60
2021-03-19,166.04
2021-03-18,170.26
2021-03-17,169.50
2021-03-16,170.86
2021-03-15,174.45
2021-03-12,177.77
2021-03-11,178.09
2021-03-10,172.12
2021-03-09,163.20
2021-03-08,165.39
2021-03-05,161.36
2021-03-04,165.71
2021-03-03,172.86
2021-03-02,174.91
2021-03-01,176.28
2021-02-26,174.28
2021-02-25,176.27
2021-02-24,174.89
2021-02-23,174.14
2021-02-22,176.73
2021-02-19,178.00
2021-02-18,174.18
2021-02-17,175.00
2021-02-16,177.64
2021-02-12,175.68
2021-02-11,176.51
2021-02-10,169.20
2021-02-09,170.67
2021-02-08,167.52
2021-02-05,166.38
2021-02-04,163.81
2021-02-03,164.81
2021-02-02,166.20
2021-02-01,162.23
2021-01-29,158.51
2021-01-28,160.98
2021-01-27,160.00
2021-01-26,167.63
2021-01-25,162.76
2021-01-22,169.18
2021-01-21,172.38
2021-01-20,172.29
2021-01-19,173.51
2021-01-15,168.46
2021-01-14,175.61
2021-01-13,174.14
2021-01-12,175.00
2021-01-11,176.36
2021-01-08,179.19
2021-01-07,176.65
2021-01-06,178.28
2021-01-05,177.63
2021-01-04,179.14
2020-12-31,181.05
2020-12-30,182.39
2020-12-29,182.57
2020-12-28,181.79
2020-12-24,178.01
2020-12-23,178.32
2020-12-22,176.88
2020-12-21,173.66
2020-12-18,177.11
2020-12-17,180.90
2020-12-16,175.44
2020-12-15,175.57
2020-12-14,174.40
2020-12-11,171.08
2020-12-10,173.82
2020-12-09,171.06
2020-12-08,169.76
2020-12-07,168.30
2020-12-04,166.12
2020-12-03,165.60
2020-12-02,162.00
2020-12-01,162.36
2020-11-30,159.45
2020-11-27,162.50
2020-11-25,162.53
2020-11-24,165.43
2020-11-23,166.03
2020-11-20,166.07
2020-11-19,166.46
2020-11-18,167.26
2020-11-17,163.35
2020-11-16,162.27
2020-11-13,159.36
2020-11-12,160.21
2020-11-11,163.48
2020-11-10,163.73
2020-11-09,175.09
2020-11-06,163.87
2020-11-05,161.95
2020-11-04,154.58
2020-11-03,155.47
2020-11-02,150.00
2020-10-30,147.88
2020-10-29,150.53
2020-10-28,149.43
2020-10-27,160.12
2020-10-26,160.24
2020-10-23,166.34
2020-10-22,165.56
2020-10-21,162.66
2020-10-20,165.97
2020-10-19,165.40
2020-10-16,166.06
2020-10-15,161.58
2020-10-14,166.62
2020-10-13,166.98
2020-10-12,167.57
2020-10-09,166.39
2020-10-08,162.65
2020-10-07,162.93
2020-10-06,160.93
2020-10-05,160.35
2020-10-02,160.85
2020-10-01,163.02
2020-09-30,161.70
2020-09-29,164.10
2020-09-28,165.08
2020-09-25,160.23
2020-09-24,161.04
2020-09-23,163.71
2020-09-22,158.88
2020-09-21,158.33
2020-09-18,164.75
2020-09-17,163.10
2020-09-16,165.77
2020-09-15,164.44
2020-09-14,163.02
2020-09-11,160.51
2020-09-10,159.05
2020-09-09,155.28
2020-09-08,151.07
2020-09-04,153.40
2020-09-03,155.96
2020-09-02,156.05
2020-09-01,150.20
2020-08-31,150.80
2020-08-28,149.23
2020-08-27,150.38
2020-08-26,151.29
2020-08-25,151.06
2020-08-24,151.84
2020-08-21,150.74
2020-08-20,152.62
2020-08-19,154.52
2020-08-18,158.85
2020-08-17,158.36
2020-08-14,156.62
2020-08-13,157.16
2020-08-12,154.37
2020-08-11,153.00
2020-08-10,149.08
2020-08-07,145.18
2020-08-06,144.54
2020-08-05,141.42
2020-08-04,137.45
2020-08-03,139.16
2020-07-31,136.51
2020-07-30,136.78
2020-07-29,142.58
2020-07-28,139.41
2020-07-27,140.26
2020-07-24,138.34
2020-07-23,139.88
2020-07-22,141.48
2020-07-21,140.87
2020-07-20,136.99
2020-07-17,134.96
2020-07-16,135.38
2020-07-15,137.51
2020-07-14,132.54
2020-07-13,134.38
2020-07-10,132.10
2020-07-09,132.45
2020-07-08,132.69
2020-07-07,135.23
2020-07-06,138.84
2020-07-02,136.98
2020-07-01,132.26
2020-06-30,130.04
2020-06-29,129.08
2020-06-26,129.91
2020-06-25,133.30
2020-06-24,132.02
2020-06-23,136.19
2020-06-22,131.15
2020-06-19,131.58
2020-06-18,133.79
2020-06-17,133.90
2020-06-16,133.15
2020-06-15,128.31
2020-06-12,128.57
2020-06-11,130.25
2020-06-10,140.58
2020-06-09,141.53
2020-06-08,144.81
2020-06-05,146.22
2020-06-04,142.29
2020-06-03,138.48
2020-06-02,134.14
2020-06-01,132.75
2020-05-29,130.89
2020-05-28,129.68
2020-05-27,127.27
2020-05-26,124.88
2020-05-22,117.60
2020-05-21,118.04
2020-05-20,119.76
2020-05-19,117.53
2020-05-18,114.19
2020-05-15,107.67
2020-05-14,102.27
2020-05-13,105.90
2020-05-12,108.77
2020-05-11,110.27
2020-05-08,112.02
2020-05-07,112.27
2020-05-06,107.24
2020-05-05,106.71
2020-05-04,105.61
2020-05-01,111.23
2020-04-30,113.05
2020-04-29,113.80
2020-04-28,110.00
2020-04-27,109.00
2020-04-24,109.49
2020-04-23,110.62
2020-04-22,111.25
2020-04-21,114.58
2020-04-20,118.33
2020-04-17,117.96
2020-04-16,113.44
2020-04-15,116.42
2020-04-14,122.22
2020-04-13,119.00
2020-04-09,121.42
2020-04-08,115.57
2020-04-07,112.09
2020-04-06,106.64
2020-04-03,100.99
2020-04-02,105.34
2020-04-01,107.11
2020-03-31,111.02
2020-03-30,111.33
2020-03-27,113.74
2020-03-26,114.53
2020-03-25,111.00
2020-03-24,102.20
2020-03-23,96.21
2020-03-20,95.00
2020-03-19,92.53
2020-03-18,87.65
2020-03-17,94.08
2020-03-16,93.17
2020-03-13,93.89
2020-03-12,91.00
2020-03-11,110.59
2020-03-10,124.82
2020-03-09,127.48
2020-03-06,134.84
2020-03-05,137.41
2020-03-04,138.91
2020-03-03,137.51
2020-03-02,135.82
2020-02-28,134.00
2020-02-27,139.47
2020-02-26,140.64
2020-02-25,142.13
2020-02-24,142.87
2020-02-21,152.42
2020-02-20,153.65
2020-02-19,157.18
2020-02-18,153.94
2020-02-14,156.08
2020-02-13,154.67
2020-02-12,158.08
2020-02-11,155.57
2020-02-10,155.77
2020-02-07,157.79
2020-02-06,158.96
2020-02-05,159.45
2020-02-04,160.57
2020-02-03,156.64
2020-01-31,157.61
2020-01-30,161.35
2020-01-29,162.33
2020-01-28,165.14
2020-01-27,164.91
2020-01-24,171.18
2020-01-23,171.60
2020-01-22,174.01
2020-01-21,172.03
2020-01-17,172.20
2020-01-16,174.64
2020-01-15,175.28
2020-01-14,173.76
2020-01-13,171.71
2020-01-10,171.38
2020-01-09,171.30
2020-01-08,166.46
2020-01-07,163.87
2020-01-06,161.22
2020-01-03,161.58
2020-01-02,162.75
2019-12-31,161.99
2019-12-30,162.01
2019-12-27,162.36
2019-12-26,160.85
2019-12-24,160.45
2019-12-23,161.13
2019-12-20,160.10
2019-12-19,159.99
2019-12-18,160.66
2019-12-17,159.42
2019-12-16,158.90
2019-12-13,154.58
2019-12-12,154.39
2019-12-11,153.31
2019-12-10,151.59
2019-12-09,151.37
2019-12-06,153.95
2019-12-05,153.00
2019-12-04,153.70
2019-12-03,153.53
2019-12-02,152.00
2019-11-29,155.88
2019-11-27,154.37
2019-11-26,151.93
2019-11-25,151.17
2019-11-22,150.28
2019-11-21,150.69
2019-11-20,150.32
2019-11-19,150.06
2019-11-18,149.10
2019-11-15,146.34
2019-11-14,145.76
2019-11-13,145.95
2019-11-12,147.79
2019-11-11,148.98
2019-11-08,148.95
2019-11-07,151.23
2019-11-06,147.20
2019-11-05,155.05
2019-11-04,158.89
2019-11-01,155.46
2019-10-31,154.13
2019-10-30,153.67
2019-10-29,153.07
2019-10-28,154.45
2019-10-25,152.20
2019-10-24,151.33
2019-10-23,151.17
2019-10-22,155.09
2019-10-21,155.81
2019-10-18,155.21
2019-10-17,156.82
2019-10-16,155.40
2019-10-15,156.99
2019-10-14,153.86
2019-10-11,153.60
2019-10-10,151.94
2019-10-09,151.74
2019-10-08,147.84
2019-10-07,148.95
2019-10-04,148.14
2019-10-03,147.50
2019-10-02,146.90
2019-10-01,153.62
2019-09-30,154.04
2019-09-27,154.60
2019-09-26,151.10
2019-09-25,147.64
2019-09-24,150.20
2019-09-23,149.30
2019-09-20,150.82
2019-09-19,151.40
2019-09-18,150.04
2019-09-17,149.01
2019-09-16,147.34
2019-09-13,150.32
2019-09-12,150.84
2019-09-11,148.47
2019-09-10,147.25
2019-09-09,152.99
2019-09-06,153.59
2019-09-05,150.90
2019-09-04,149.65
2019-09-03,148.00
2019-08-30,147.94
2019-08-29,147.10
2019-08-28,144.39
2019-08-27,145.91
2019-08-26,144.66
2019-08-23,143.51
2019-08-22,145.12
2019-08-21,146.99
2019-08-20,144.00
2019-08-19,143.64
2019-08-16,142.10
2019-08-15,142.00
2019-08-14,141.79
2019-08-13,143.76
2019-08-12,146.31
2019-08-09,145.48
2019-08-08,142.79
2019-08-07,152.92
2019-08-06,151.19
2019-08-05,148.37
2019-08-02,155.41
2019-08-01,162.49
2019-07-31,159.35
2019-07-30,155.39
2019-07-29,160.24
2019-07-26,159.95
2019-07-25,156.79
2019-07-24,156.98
2019-07-23,157.80
2019-07-22,158.46
2019-07-19,155.94
2019-07-18,157.97
2019-07-17,157.25
2019-07-16,156.94
2019-07-15,156.66
2019-07-12,155.01
2019-07-11,156.24
2019-07-10,156.42
2019-07-09,157.30
2019-07-08,156.81
2019-07-05,154.24
2019-07-03,157.09
2019-07-02,153.88
2019-07-01,154.71
2019-06-28,153.63
2019-06-27,151.12
2019-06-26,153.51
2019-06-25,148.87
2019-06-24,150.57
2019-06-21,151.55
2019-06-20,151.65
2019-06-19,149.46
2019-06-18,151.08
2019-06-17,147.39
2019-06-14,146.02
2019-06-13,145.79
2019-06-12,145.00
2019-06-11,146.33
2019-06-10,150.00
2019-06-07,149.26
2019-06-06,146.51
2019-06-05,144.48
2019-06-04,144.66
2019-06-03,143.98
2019-05-31,141.86
2019-05-30,143.20
2019-05-29,143.44
2019-05-28,147.01
2019-05-24,144.91
2019-05-23,144.00
2019-05-22,146.16
2019-05-21,143.50
2019-05-20,139.89
2019-05-17,141.37
2019-05-16,139.83
2019-05-15,138.56
2019-05-14,139.74
2019-05-13,137.56
2019-05-10,141.39
2019-05-09,139.40
2019-05-08,141.92
2019-05-07,138.70
2019-05-06,138.72
2019-05-03,136.20
2019-05-02,127.31
2019-05-01,126.95
2019-04-30,127.93
2019-04-29,126.67
2019-04-26,126.97
2019-04-25,127.00
2019-04-24,128.45
2019-04-23,129.10
2019-04-22,130.30
2019-04-18,130.05
2019-04-17,129.39
2019-04-16,129.13
2019-04-15,127.60
2019-04-12,127.01
2019-04-11,126.49
2019-04-10,126.78
2019-04-09,126.30
2019-04-08,126.25
2019-04-05,126.94
2019-04-04,125.52
2019-04-03,125.30
2019-04-02,123.82
2019-04-01,122.52
2019-03-29,121.48
2019-03-28,120.47
2019-03-27,120.22
2019-03-26,120.47
2019-03-25,119.77
2019-03-22,117.91
2019-03-21,118.09
2019-03-20,119.10
2019-03-19,118.75
2019-03-18,116.99
2019-03-15,119.70
2019-03-14,119.23
2019-03-13,114.90
2019-03-12,117.50
2019-03-11,118.74
2019-03-08,117.84
2019-03-07,120.46
2019-03-06,123.00
2019-03-05,122.11
2019-03-04,121.72
2019-03-01,122.99
2019-02-28,121.05
2019-02-27,120.89
2019-02-26,120.96
2019-02-25,118.48
2019-02-22,114.85
2019-02-21,114.75
2019-02-20,114.15
2019-02-19,113.05
2019-02-15,111.55
2019-02-14,111.13
2019-02-13,111.78
2019-02-12,113.16
2019-02-11,112.29
2019-02-08,111.95
2019-02-07,112.98
2019-02-06,114.62
2019-02-05,115.10
2019-02-04,111.33
2019-02-01,113.21
2019-01-31,118.00
2019-01-30,117.14
2019-01-29,116.18
2019-01-28,115.74
2019-01-25,116.12
2019-01-24,113.92
2019-01-23,117.42
2019-01-22,116.17
2019-01-18,115.30
2019-01-17,113.09
2019-01-16,112.78
2019-01-15,112.63
2019-01-14,112.50
2019-01-11,112.42
2019-01-10,111.90
2019-01-09,111.10
2019-01-08,111.04
2019-01-07,108.42
2019-01-04,107.55
2019-01-03,104.51
2019-01-02,104.45
2018-12-31,104.19
2018-12-28,103.90
2018-12-27,101.48
2018-12-26,101.98
2018-12-24,102.95
2018-12-21,103.74
2018-12-20,104.09
2018-12-19,104.92
2018-12-18,105.48
2018-12-17,104.88
2018-12-14,109.75
2018-12-13,113.14
2018-12-12,112.81
2018-12-11,111.19
2018-12-10,109.18
2018-12-07,110.62
2018-12-06,109.57
2018-12-04,110.53
2018-12-03,112.15
2018-11-30,109.55
2018-11-29,112.34
2018-11-28,112.00
2018-11-27,112.22
2018-11-26,112.51
2018-11-23,113.85
2018-11-21,115.00
2018-11-20,112.07
2018-11-19,114.27
2018-11-16,115.74
2018-11-15,115.32
2018-11-14,115.70
2018-11-13,115.19
2018-11-12,113.36
2018-11-09,115.05
2018-11-08,113.96
2018-11-07,113.95
2018-11-06,116.77
2018-11-05,117.26
2018-11-02,117.39
2018-11-01,116.12
2018-10-31,117.57
2018-10-30,114.34
2018-10-29,115.49
2018-10-26,114.13
2018-10-25,115.57
2018-10-24,113.44
2018-10-23,112.76
2018-10-22,114.26
2018-10-19,116.26
2018-10-18,113.26
2018-10-17,115.92
2018-10-16,114.98
2018-10-15,112.38
2018-10-12,110.47
2018-10-11,110.45
2018-10-10,111.41
2018-10-09,115.82
2018-10-08,117.88
2018-10-05,118.95
2018-10-04,119.95
2018-10-03,122.98
2018-10-02,122.78
2018-10-01,123.44
2018-09-28,121.63
2018-09-27,122.80
2018-09-26,121.60
2018-09-25,123.23
2018-09-24,122.33
2018-09-21,123.62
2018-09-20,122.82
2018-09-19,121.86
2018-09-18,122.20
2018-09-17,121.31
2018-09-14,121.94
2018-09-13,122.34
2018-09-12,121.46
2018-09-11,118.00
2018-09-10,120.25
2018-09-07,119.08
2018-09-06,119.25
2018-09-05,119.97
2018-09-04,121.65
2018-08-31,123.87
2018-08-30,124.56
2018-08-29,124.25
2018-08-28,126.00
2018-08-27,125.38
2018-08-24,123.28
2018-08-23,122.14
2018-08-22,121.66
2018-08-21,121.09
2018-08-20,119.56
2018-08-17,117.24
2018-08-16,118.10
2018-08-15,116.09
2018-08-14,118.19
2018-08-13,118.61
2018-08-10,116.78
2018-08-09,119.80
2018-08-08,109.69
2018-08-07,109.78
2018-08-06,108.44
2018-08-03,108.69
2018-08-02,107.09
2018-08-01,109.28
2018-07-31,110.51
2018-07-30,110.39
2018-07-27,109.55
2018-07-26,108.56
2018-07-25,109.92
2018-07-24,110.96
2018-07-23,110.58
2018-07-20,110.50
2018-07-19,109.65
2018-07-18,109.89
2018-07-17,108.58
2018-07-16,109.94
2018-07-13,109.30
2018-07-12,107.15
2018-07-11,106.55
2018-07-10,107.86
2018-07-09,106.80
2018-07-06,106.47
2018-07-05,105.63
2018-07-03,107.63
