,HGLD
2021-08-23,0.0459
2021-08-20,0.0459
2021-08-19,0.0459
2021-08-18,0.0406
2021-08-17,0.0469
2021-08-16,0.0469
2021-08-13,0.0469
2021-08-12,0.0610
2021-08-11,0.0610
2021-08-10,0.0420
2021-08-09,0.0420
2021-08-06,0.0472
2021-08-05,0.0600
2021-08-04,0.0600
2021-08-03,0.0600
2021-08-02,0.0600
2021-07-30,0.0600
2021-07-29,0.0600
2021-07-28,0.0600
2021-07-27,0.0686
2021-07-26,0.0409
2021-07-23,0.0686
2021-07-22,0.0647
2021-07-21,0.0555
2021-07-20,0.0550
2021-07-19,0.0500
2021-07-16,0.0646
2021-07-15,0.0646
2021-07-14,0.0510
2021-07-13,0.0609
2021-07-12,0.0650
2021-07-09,0.0650
2021-07-08,0.0648
2021-07-07,0.0615
2021-07-06,0.0615
2021-07-02,0.0696
2021-07-01,0.0696
2021-06-30,0.0696
2021-06-29,0.0697
2021-06-28,0.0595
2021-06-25,0.0689
2021-06-24,0.0779
2021-06-23,0.0676
2021-06-22,0.0634
2021-06-21,0.0673
2021-06-18,0.0776
2021-06-17,0.0781
2021-06-16,0.0827
2021-06-15,0.0871
2021-06-14,0.0833
2021-06-11,0.0409
2021-06-10,0.1200
2021-06-09,0.0877
2021-06-08,0.0877
2021-06-07,0.0961
2021-06-04,0.0771
2021-06-03,0.0959
2021-06-02,0.0962
2021-06-01,0.0818
2021-05-28,0.0818
2021-05-27,0.0818
2021-05-26,0.0818
2021-05-25,0.0793
2021-05-24,0.0200
2021-05-21,0.0780
2021-05-20,0.0780
2021-05-19,0.0731
2021-05-18,0.0731
2021-05-17,0.0771
2021-05-14,0.0799
2021-05-13,0.0799
2021-05-12,0.0799
2021-05-11,0.0799
2021-05-10,0.0981
2021-05-07,0.0981
2021-05-06,0.0230
2021-05-05,0.0984
2021-05-04,0.0943
2021-05-03,0.0800
2021-04-30,0.1026
2021-04-29,0.1000
2021-04-28,0.1000
2021-04-27,0.0987
2021-04-26,0.0861
2021-04-23,0.0861
2021-04-22,0.0891
2021-04-21,0.0746
2021-04-20,0.1000
2021-04-19,0.1000
2021-04-16,0.0809
2021-04-15,0.0665
2021-04-14,0.0704
2021-04-13,0.0800
2021-04-12,0.0767
2021-04-09,0.0764
2021-04-08,0.0764
2021-04-07,0.0763
