,LULU
2021-04-16,321.51
2021-04-15,323.40
2021-04-14,321.22
2021-04-13,318.57
2021-04-12,314.36
2021-04-09,310.60
2021-04-08,308.11
2021-04-07,304.75
2021-04-06,298.02
2021-04-05,295.89
2021-04-01,300.32
2021-03-31,300.05
2021-03-30,311.44
2021-03-29,310.25
2021-03-26,302.48
2021-03-25,298.54
2021-03-24,306.68
2021-03-23,312.90
2021-03-22,308.76
2021-03-19,303.51
2021-03-18,305.28
2021-03-17,303.89
2021-03-16,305.70
2021-03-15,304.17
2021-03-12,299.01
2021-03-11,308.74
2021-03-10,299.19
2021-03-09,294.78
2021-03-08,288.05
2021-03-05,269.28
2021-03-04,280.48
2021-03-03,295.68
2021-03-02,312.10
2021-03-01,312.11
2021-02-26,306.40
2021-02-25,308.58
2021-02-24,312.51
2021-02-23,304.87
2021-02-22,319.31
2021-02-19,331.12
2021-02-18,325.75
2021-02-17,331.19
2021-02-16,339.23
2021-02-12,339.25
2021-02-11,340.86
2021-02-10,338.01
2021-02-09,334.15
2021-02-08,334.12
2021-02-05,332.91
2021-02-04,334.35
2021-02-03,331.52
2021-02-02,334.67
2021-02-01,324.40
2021-01-29,322.01
2021-01-28,328.70
2021-01-27,312.90
2021-01-26,328.65
2021-01-25,335.00
2021-01-22,344.42
2021-01-21,348.80
2021-01-20,343.81
2021-01-19,340.15
2021-01-15,337.43
2021-01-14,347.51
2021-01-13,350.50
2021-01-12,351.14
2021-01-11,352.34
2021-01-08,362.59
2021-01-07,364.60
2021-01-06,357.48
2021-01-05,357.38
2021-01-04,346.41
2020-12-31,346.76
2020-12-30,349.80
2020-12-29,343.67
2020-12-28,345.50
2020-12-24,350.45
2020-12-23,354.91
2020-12-22,357.52
2020-12-21,369.46
2020-12-18,373.18
2020-12-17,363.99
2020-12-16,351.57
2020-12-15,353.62
2020-12-14,337.07
2020-12-11,343.28
2020-12-10,359.78
2020-12-09,361.84
2020-12-08,367.00
2020-12-07,366.66
2020-12-04,374.36
2020-12-03,373.38
2020-12-02,371.58
2020-12-01,370.44
2020-11-30,357.49
2020-11-27,358.01
2020-11-25,348.18
2020-11-24,344.41
2020-11-23,343.62
2020-11-20,340.30
2020-11-19,332.16
2020-11-18,333.85
2020-11-17,327.21
2020-11-16,322.17
2020-11-13,324.50
2020-11-12,328.57
2020-11-11,322.19
2020-11-10,311.04
2020-11-09,326.65
2020-11-06,343.02
2020-11-05,338.25
2020-11-04,331.08
2020-11-03,312.05
2020-11-02,307.81
2020-10-30,314.63
2020-10-29,326.42
2020-10-28,326.26
2020-10-27,330.51
2020-10-26,325.65
2020-10-23,322.82
2020-10-22,316.48
2020-10-21,325.16
2020-10-20,329.88
2020-10-19,336.05
2020-10-16,348.29
2020-10-15,345.00
2020-10-14,346.31
2020-10-13,348.20
2020-10-12,342.83
2020-10-09,338.40
2020-10-08,337.17
2020-10-07,333.10
2020-10-06,327.39
2020-10-05,327.03
2020-10-02,327.73
2020-10-01,332.62
2020-09-30,326.81
2020-09-29,315.97
2020-09-28,310.60
2020-09-25,308.59
2020-09-24,303.21
2020-09-23,313.79
2020-09-22,296.77
2020-09-21,287.21
2020-09-18,290.57
2020-09-17,301.55
2020-09-16,309.58
2020-09-15,312.68
2020-09-14,311.13
2020-09-11,308.63
2020-09-10,317.67
2020-09-09,315.25
2020-09-08,348.50
2020-09-04,345.97
2020-09-03,376.37
2020-09-02,387.08
2020-09-01,373.56
2020-08-31,372.50
2020-08-28,376.13
2020-08-27,373.89
2020-08-26,376.67
2020-08-25,372.21
2020-08-24,369.40
2020-08-21,364.55
2020-08-20,356.30
2020-08-19,356.17
2020-08-18,352.45
2020-08-17,350.00
2020-08-14,345.03
2020-08-13,346.27
2020-08-12,337.79
2020-08-11,334.87
2020-08-10,337.39
2020-08-07,336.51
2020-08-06,334.12
2020-08-05,328.27
2020-08-04,324.32
2020-08-03,324.01
2020-07-31,319.60
2020-07-30,316.99
2020-07-29,321.50
2020-07-28,321.91
2020-07-27,323.04
2020-07-24,313.62
2020-07-23,316.00
2020-07-22,322.53
2020-07-21,324.07
2020-07-20,317.00
2020-07-17,310.86
2020-07-16,306.78
2020-07-15,304.14
2020-07-14,295.01
2020-07-13,304.54
2020-07-10,308.12
2020-07-09,303.68
2020-07-08,306.58
2020-07-07,306.31
2020-07-06,308.60
2020-07-02,302.50
2020-07-01,306.36
2020-06-30,304.20
2020-06-29,284.29
2020-06-26,288.11
2020-06-25,288.50
2020-06-24,290.52
2020-06-23,300.73
2020-06-22,293.85
2020-06-19,295.29
2020-06-18,299.00
2020-06-17,302.57
2020-06-16,303.27
2020-06-15,288.61
2020-06-12,289.55
2020-06-11,306.63
2020-06-10,316.54
2020-06-09,307.80
2020-06-08,312.73
2020-06-05,317.00
2020-06-04,313.50
2020-06-03,312.50
2020-06-02,302.01
2020-06-01,297.25
2020-05-29,284.15
2020-05-28,277.52
2020-05-27,271.60
2020-05-26,279.31
2020-05-22,267.02
2020-05-21,257.57
2020-05-20,255.18
2020-05-19,251.03
2020-05-18,252.03
2020-05-15,234.01
2020-05-14,225.81
2020-05-13,225.89
2020-05-12,242.34
2020-05-11,234.53
2020-05-08,228.50
2020-05-07,220.57
2020-05-06,218.97
2020-05-05,216.18
2020-05-04,213.97
2020-05-01,216.20
2020-04-30,223.48
2020-04-29,227.51
2020-04-28,224.19
2020-04-27,216.38
2020-04-24,212.10
2020-04-23,210.42
2020-04-22,210.01
2020-04-21,206.50
2020-04-20,216.79
2020-04-17,213.52
2020-04-16,207.68
2020-04-15,199.60
2020-04-14,201.58
2020-04-13,197.66
2020-04-09,198.48
2020-04-08,194.33
