,CMCSA
2020-06-22,38.32
2020-06-19,38.87
2020-06-18,38.95
2020-06-17,39.12
2020-06-16,39.14
2020-06-15,38.54
2020-06-12,38.52
2020-06-11,39.19
2020-06-10,41.13
2020-06-09,41.88
2020-06-08,41.90
2020-06-05,41.99
2020-06-04,40.84
2020-06-03,40.99
2020-06-02,40.12
2020-06-01,39.40
2020-05-29,38.80
2020-05-28,39.44
2020-05-27,39.62
2020-05-26,39.40
2020-05-22,38.47
2020-05-21,38.56
2020-05-20,38.50
2020-05-19,37.33
2020-05-18,36.83
2020-05-15,34.85
2020-05-14,34.17
2020-05-13,34.42
2020-05-12,35.34
2020-05-11,35.54
2020-05-08,36.00
2020-05-07,35.37
2020-05-06,35.10
2020-05-05,35.99
2020-05-04,35.92
2020-05-01,36.78
2020-04-30,36.01
2020-04-29,38.35
2020-04-28,37.91
2020-04-27,37.40
2020-04-24,36.15
2020-04-23,35.80
2020-04-22,35.68
2020-04-21,35.53
2020-04-20,37.12
2020-04-17,37.68
2020-04-16,36.66
2020-04-15,36.75
2020-04-14,37.23
2020-04-13,36.58
2020-04-09,36.80
2020-04-08,36.76
2020-04-07,36.73
2020-04-06,35.09
2020-04-03,33.41
2020-04-02,32.06
2020-04-01,32.05
2020-03-31,34.25
2020-03-30,34.55
2020-03-27,34.41
2020-03-26,33.06
2020-03-25,31.78
2020-03-24,33.53
2020-03-23,31.71
2020-03-20,32.64
2020-03-19,34.60
2020-03-18,33.27
2020-03-17,36.21
2020-03-16,34.50
2020-03-13,34.48
2020-03-12,34.44
2020-03-11,37.38
2020-03-10,36.67
2020-03-09,37.15
2020-03-06,38.83
2020-03-05,40.42
2020-03-04,41.50
2020-03-03,41.10
2020-03-02,39.40
2020-02-28,38.97
2020-02-27,40.99
2020-02-26,42.19
2020-02-25,43.03
2020-02-24,44.47
2020-02-21,45.66
2020-02-20,45.50
2020-02-19,45.86
2020-02-18,45.81
2020-02-14,45.75
2020-02-13,45.69
2020-02-12,44.91
2020-02-11,44.36
2020-02-10,44.26
2020-02-07,44.27
2020-02-06,44.29
2020-02-05,44.48
2020-02-04,43.38
2020-02-03,42.62
2020-01-31,43.00
2020-01-30,42.70
2020-01-29,43.15
2020-01-28,43.81
2020-01-27,43.80
2020-01-24,44.21
2020-01-23,45.51
2020-01-22,47.27
2020-01-21,46.79
2020-01-17,47.11
2020-01-16,46.31
2020-01-15,46.01
2020-01-14,45.50
2020-01-13,44.90
2020-01-10,44.93
2020-01-09,45.18
2020-01-08,44.76
2020-01-07,44.22
2020-01-06,44.55
2020-01-03,44.57
2020-01-02,44.93
2019-12-31,44.77
2019-12-30,44.94
2019-12-27,44.86
2019-12-26,44.57
2019-12-24,44.10
2019-12-23,43.95
2019-12-20,43.23
2019-12-19,43.03
2019-12-18,43.14
2019-12-17,43.27
2019-12-16,43.32
2019-12-13,42.73
2019-12-12,42.17
2019-12-11,42.01
2019-12-10,42.71
2019-12-09,43.74
2019-12-06,44.01
2019-12-05,43.26
2019-12-04,43.35
2019-12-03,43.08
2019-12-02,43.56
2019-11-29,44.04
2019-11-27,43.66
2019-11-26,43.25
2019-11-25,43.28
2019-11-22,44.29
2019-11-21,43.78
2019-11-20,43.88
2019-11-19,44.59
2019-11-18,44.08
2019-11-15,44.43
2019-11-14,45.04
2019-11-13,44.97
2019-11-12,44.95
2019-11-11,44.88
2019-11-08,44.43
2019-11-07,44.27
2019-11-06,43.53
2019-11-05,43.67
2019-11-04,43.75
2019-11-01,44.51
2019-10-31,43.89
2019-10-30,44.46
2019-10-29,45.12
2019-10-28,44.55
2019-10-25,44.93
2019-10-24,44.50
2019-10-23,45.47
2019-10-22,45.70
2019-10-21,45.81
2019-10-18,45.42
2019-10-17,45.51
2019-10-16,45.31
2019-10-15,45.10
2019-10-14,45.06
2019-10-11,44.63
2019-10-10,44.30
2019-10-09,44.05
2019-10-08,43.64
2019-10-07,44.33
2019-10-04,44.29
2019-10-03,43.61
2019-10-02,43.97
2019-10-01,44.48
2019-09-30,44.77
2019-09-27,44.33
2019-09-26,44.25
2019-09-25,45.32
2019-09-24,45.45
2019-09-23,46.16
2019-09-20,46.18
2019-09-19,46.57
2019-09-18,46.46
2019-09-17,45.88
2019-09-16,45.79
2019-09-13,46.79
2019-09-12,46.50
2019-09-11,46.09
2019-09-10,46.01
2019-09-09,46.14
2019-09-06,46.20
2019-09-05,45.99
2019-09-04,44.22
2019-09-03,43.53
2019-08-30,44.03
2019-08-29,43.95
2019-08-28,43.21
2019-08-27,43.42
2019-08-26,42.55
2019-08-23,42.27
2019-08-22,43.62
2019-08-21,43.48
2019-08-20,43.69
2019-08-19,43.61
2019-08-16,42.51
2019-08-15,42.05
2019-08-14,42.19
2019-08-13,42.46
2019-08-12,42.20
2019-08-09,42.38
2019-08-08,41.90
2019-08-07,40.72
2019-08-06,41.30
2019-08-05,41.13
2019-08-02,42.20
2019-08-01,42.78
2019-07-31,42.70
2019-07-30,43.72
2019-07-29,44.12
2019-07-26,44.02
2019-07-25,43.81
