,JPY
2020-01-30,108.6570
2020-01-29,108.9940
2020-01-28,108.7620
2020-01-27,108.8140
2020-01-24,109.3050
2020-01-23,109.2690
2020-01-22,109.8370
2020-01-21,109.8620
2020-01-20,110.1140
2020-01-17,110.0580
2020-01-16,109.8760
2020-01-15,109.7920
2020-01-14,109.8910
2020-01-13,109.5320
2020-01-10,109.4560
2020-01-09,109.0490
2020-01-08,107.6570
2020-01-07,108.2610
2020-01-06,107.9220
2020-01-03,107.9150
2020-01-02,108.2210
2020-01-01,108.6300
2019-12-31,108.4690
2019-12-30,108.7730
2019-12-27,109.4260
2019-12-26,109.3670
2019-12-25,109.3100
2019-12-24,109.3230
2019-12-23,109.3380
2019-12-20,109.2590
2019-12-19,109.2150
2019-12-18,109.3980
2019-12-17,109.4630
2019-12-16,109.3540
2019-12-13,109.2090
2019-12-12,108.4570
2019-12-11,108.6370
2019-12-10,108.5200
2019-12-09,108.4280
2019-12-06,108.5480
2019-12-05,108.6710
2019-12-04,108.4300
2019-12-03,108.5000
2019-12-02,108.9990
2019-11-29,109.4250
2019-11-28,109.3430
2019-11-27,109.0600
2019-11-26,108.8770
2019-11-25,108.6990
2019-11-22,108.4770
2019-11-21,108.2780
2019-11-20,108.3580
2019-11-19,108.4520
2019-11-18,108.5160
2019-11-15,108.4530
2019-11-14,108.2740
2019-11-13,108.6770
2019-11-12,108.9860
2019-11-11,108.9050
2019-11-08,109.0830
2019-11-07,108.6570
2019-11-06,108.8290
2019-11-05,108.6510
2019-11-04,108.2050
2019-11-01,107.9120
2019-10-31,108.0540
2019-10-30,108.8110
2019-10-29,108.8020
2019-10-28,108.6580
2019-10-25,108.5160
2019-10-24,108.5020
2019-10-23,108.2530
2019-10-22,108.4660
2019-10-21,108.3690
2019-10-18,108.4200
2019-10-17,108.5120
2019-10-16,108.6050
2019-10-15,108.1560
2019-10-14,108.0510
2019-10-11,107.8520
2019-10-10,107.1820
2019-10-09,106.9510
2019-10-08,106.8110
2019-10-07,106.6890
2019-10-04,106.6570
2019-10-03,106.5060
2019-10-02,107.1840
2019-10-01,107.6700
2019-09-30,107.7450
2019-09-27,107.6560
2019-09-26,107.4350
2019-09-25,107.0050
2019-09-24,107.2500
2019-09-23,107.3100
2019-09-20,107.7700
2019-09-19,107.8020
2019-09-18,108.0970
2019-09-17,108.0270
2019-09-16,107.4990
2019-09-13,107.9200
2019-09-12,107.5400
2019-09-11,107.5590
2019-09-10,107.2050
2019-09-09,106.7700
2019-09-06,106.6300
2019-09-05,106.3360
2019-09-04,105.8320
2019-09-03,105.7500
2019-09-02,106.0750
2019-08-30,106.1160
2019-08-29,105.8330
2019-08-28,105.6540
2019-08-27,105.5860
2019-08-26,104.8710
2019-08-23,105.2950
2019-08-22,106.2700
2019-08-21,106.2740
2019-08-20,106.1840
2019-08-19,106.2480
2019-08-16,106.0260
2019-08-15,105.7100
2019-08-14,105.7080
2019-08-13,105.0730
2019-08-12,105.0490
2019-08-09,105.3460
2019-08-08,105.9130
2019-08-07,105.5610
2019-08-06,105.5720
2019-08-05,105.8100
2019-08-02,106.5530
2019-08-01,108.1590
2019-07-31,108.4950
2019-07-30,108.4500
2019-07-29,108.4270
2019-07-26,108.5560
2019-07-25,108.0400
2019-07-24,107.9500
2019-07-23,107.8380
2019-07-22,107.7120
2019-07-19,107.3380
2019-07-18,107.6210
2019-07-17,108.0680
2019-07-16,107.8800
2019-07-15,107.8080
2019-07-12,107.9550
2019-07-11,107.8590
2019-07-10,108.3960
2019-07-09,108.7160
2019-07-08,108.2780
2019-07-05,107.8090
2019-07-04,107.7070
2019-07-03,107.5260
2019-07-02,107.9280
2019-07-01,108.1080
2019-06-28,107.5640
2019-06-27,107.6540
2019-06-26,107.1640
2019-06-25,106.7830
2019-06-24,107.2510
2019-06-21,107.0460
2019-06-20,107.4730
